,REGION,ILITOTAL,TOTAL PATIENTS,Season,A_H1,A_H3,BVic,BYam,A_2009_H1N1,Total_Tested,B,H3N2v,ILI_Percent,A_H1_Percent,A_H3_Percent,BVic_Percent,BYam_Percent,A_2009_H1N1_Percent,B_Percent,H3N2v_Percent
245,Alabama,12214.0,431946.0,15.0,0.0,16.0,2.0,2.0,59.0,851.0,4.0,0.0,0.028276682733489836,0.0,0.01880141010575793,0.0023501762632197414,0.0023501762632197414,0.06933019976498238,0.004700352526439483,0.0
246,Alaska,999.0,63806.0,15.0,0.0,98.0,1.0,2.0,607.0,5446.0,242.0,0.0,0.01565683478042817,0.0,0.017994858611825194,0.0001836210062431142,0.0003672420124862284,0.11145795078957033,0.04443628351083364,0.0
247,Arizona,23862.0,1103093.0,15.0,0.0,580.0,58.0,399.0,762.0,2677.0,13.0,0.0,0.02163190229654254,0.0,0.21666044079193125,0.021666044079193127,0.14904744116548374,0.2846469929025028,0.004856182293612252,0.0
248,Arkansas,2804.0,156613.0,15.0,0.0,8.0,12.0,0.0,20.0,377.0,1.0,0.0,0.01790400541462075,0.0,0.021220159151193633,0.03183023872679045,0.0,0.05305039787798409,0.002652519893899204,0.0
249,California,41157.0,1951617.0,15.0,0.0,854.0,309.0,803.0,1466.0,17472.0,783.0,0.0,0.021088666475030705,0.0,0.04887820512820513,0.01768543956043956,0.04595924908424909,0.08390567765567765,0.04481456043956044,0.0
250,Colorado,1398.0,176040.0,15.0,0.0,243.0,40.0,144.0,913.0,3636.0,14.0,0.0,0.007941376959781869,0.0,0.06683168316831684,0.011001100110011002,0.039603960396039604,0.2511001100110011,0.0038503850385038503,0.0
251,Connecticut,3477.0,189037.0,15.0,0.0,52.0,0.0,0.0,662.0,3253.0,189.0,0.0,0.018393224606823,0.0,0.015985244389794036,0.0,0.0,0.20350445742391637,0.05810021518598217,0.0
252,Delaware,412.0,146410.0,15.0,0.0,20.0,78.0,69.0,414.0,2860.0,8.0,0.0,0.002814015436104091,0.0,0.006993006993006993,0.02727272727272727,0.024125874125874126,0.14475524475524476,0.002797202797202797,0.0
253,Georgia,27799.0,1705451.0,15.0,0.0,32.0,38.0,41.0,300.0,4885.0,41.0,0.0,0.016300087191012818,0.0,0.0065506653019447286,0.0077789150460593655,0.008393039918116683,0.06141248720573183,0.008393039918116683,0.0
254,Hawaii,2039.0,78994.0,15.0,0.0,223.0,80.0,187.0,480.0,5795.0,166.0,0.0,0.025812086993948907,0.0,0.038481449525452974,0.013805004314063849,0.03226919758412425,0.08283002588438308,0.028645383951682486,0.0
255,Idaho,1007.0,99758.0,15.0,0.0,57.0,28.0,283.0,200.0,669.0,0.0,0.0,0.010094428517011167,0.0,0.08520179372197309,0.04185351270553064,0.42301943198804187,0.29895366218236175,0.0,0.0
256,Illinois,47412.0,2371512.0,15.0,0.0,39.0,21.0,37.0,249.0,4699.0,3.0,0.0,0.019992308704320283,0.0,0.008299638220898064,0.004469035965098957,0.007874015748031496,0.052989997871887635,0.000638433709299851,0.0
257,Indiana,3598.0,261845.0,15.0,0.0,75.0,31.0,19.0,270.0,1376.0,16.0,0.0,0.013740953617598197,0.0,0.05450581395348837,0.02252906976744186,0.013808139534883721,0.19622093023255813,0.011627906976744186,0.0
258,Iowa,416.0,80032.0,15.0,0.0,46.0,26.0,78.0,277.0,1411.0,5.0,0.0,0.005197920831667333,0.0,0.03260099220411056,0.01842664776754075,0.05527994330262225,0.19631467044649184,0.003543586109142452,0.0
259,Kansas,3897.0,295237.0,15.0,0.0,16.0,6.0,20.0,108.0,435.0,4.0,0.0,0.013199565095160837,0.0,0.0367816091954023,0.013793103448275862,0.04597701149425287,0.2482758620689655,0.009195402298850575,0.0
260,Kentucky,7464.0,1208331.0,15.0,0.0,17.0,5.0,2.0,112.0,1630.0,74.0,0.0,0.006177115376498658,0.0,0.010429447852760737,0.003067484662576687,0.001226993865030675,0.0687116564417178,0.04539877300613497,0.0
261,Louisiana,46313.0,2308067.0,15.0,0.0,90.0,0.0,0.0,177.0,2486.0,102.0,0.0,0.020065708664436518,0.0,0.036202735317779566,0.0,0.0,0.07119871279163315,0.04102976669348351,0.0
262,Maine,2417.0,255624.0,15.0,0.0,24.0,0.0,0.0,226.0,796.0,69.0,0.0,0.009455293712640441,0.0,0.03015075376884422,0.0,0.0,0.28391959798994976,0.08668341708542714,0.0
263,Maryland,6518.0,347954.0,15.0,0.0,51.0,175.0,222.0,1149.0,4984.0,1.0,0.0,0.018732361174178196,0.0,0.010232744783306581,0.0351123595505618,0.044542536115569825,0.23053772070626002,0.00020064205457463884,0.0
264,Massachusetts,11176.0,1093829.0,15.0,0.0,8.0,25.0,9.0,147.0,1190.0,6.0,0.0,0.010217319160490351,0.0,0.0067226890756302525,0.02100840336134454,0.007563025210084034,0.12352941176470589,0.005042016806722689,0.0
265,Michigan,10204.0,1053645.0,15.0,0.0,68.0,21.0,31.0,276.0,2283.0,14.0,12.0,0.009684476270470605,0.0,0.029785370127025843,0.009198423127463863,0.01357862461673237,0.12089356110381078,0.006132282084975909,0.005256241787122208
266,Minnesota,2929.0,230858.0,15.0,0.0,61.0,13.0,110.0,752.0,7558.0,4.0,1.0,0.012687452893120446,0.0,0.008070918232336598,0.0017200317544323895,0.014554114845197141,0.09949722148716592,0.0005292405398253506,0.00013231013495633765
267,Mississippi,25540.0,962804.0,15.0,0.0,8.0,13.0,9.0,19.0,545.0,0.0,0.0,0.026526686636117007,0.0,0.014678899082568808,0.023853211009174313,0.01651376146788991,0.03486238532110092,0.0,0.0
268,Missouri,4665.0,302160.0,15.0,0.0,11.0,11.0,8.0,20.0,4490.0,1.0,0.0,0.015438840349483717,0.0,0.0024498886414253897,0.0024498886414253897,0.0017817371937639199,0.004454342984409799,0.00022271714922048998,0.0
269,Montana,333.0,142360.0,15.0,0.0,23.0,0.0,0.0,88.0,1496.0,39.0,0.0,0.002339140207923574,0.0,0.01537433155080214,0.0,0.0,0.058823529411764705,0.02606951871657754,0.0
270,Nebraska,861.0,134444.0,15.0,0.0,12.0,1.0,4.0,71.0,713.0,13.0,0.0,0.006404153402160007,0.0,0.016830294530154277,0.001402524544179523,0.005610098176718092,0.09957924263674614,0.0182328190743338,0.0
271,Nevada,5372.0,583384.0,15.0,0.0,29.0,30.0,60.0,96.0,813.0,26.0,0.0,0.009208343046775366,0.0,0.03567035670356704,0.03690036900369004,0.07380073800738007,0.11808118081180811,0.03198031980319803,0.0
272,New Hampshire,874.0,198552.0,15.0,0.0,15.0,58.0,17.0,117.0,335.0,0.0,0.0,0.004401869535436561,0.0,0.04477611940298507,0.17313432835820897,0.050746268656716415,0.3492537313432836,0.0,0.0
273,New Jersey,4048.0,250321.0,15.0,0.0,92.0,9.0,8.0,188.0,926.0,105.0,0.0,0.016171236132805477,0.0,0.09935205183585313,0.009719222462203024,0.008639308855291577,0.20302375809935205,0.11339092872570194,0.0
274,New Mexico,10598.0,513507.0,15.0,0.0,159.0,44.0,62.0,193.0,2048.0,103.0,0.0,0.0206384723090435,0.0,0.07763671875,0.021484375,0.0302734375,0.09423828125,0.05029296875,0.0
