,REGION,TOTAL SPECIMENS,A (2009 H1N1),A (H1),B,H3N2v,Season
0,Alabama,3434.0,146.0,0.0,473.0,0.0,Season 2010
1,Alaska,3073.0,343.0,0.0,39.0,0.0,Season 2010
2,Arizona,5306.0,446.0,0.0,395.0,0.0,Season 2010
3,Arkansas,2183.0,107.0,0.0,216.0,0.0,Season 2010
4,California,10004.0,264.0,0.0,385.0,0.0,Season 2010
5,Colorado,10739.0,82.0,0.0,401.0,0.0,Season 2010
6,Connecticut,6700.0,440.0,0.0,239.0,0.0,Season 2010
7,Delaware,5749.0,723.0,0.0,229.0,0.0,Season 2010
8,Georgia,18938.0,128.0,0.0,1667.0,0.0,Season 2010
9,Hawaii,9908.0,810.0,0.0,469.0,0.0,Season 2010
10,Idaho,217.0,13.0,0.0,26.0,0.0,Season 2010
11,Illinois,2413.0,134.0,0.0,74.0,0.0,Season 2010
12,Indiana,5463.0,374.0,0.0,451.0,0.0,Season 2010
13,Iowa,2990.0,299.0,0.0,369.0,0.0,Season 2010
14,Kansas,422.0,75.0,0.0,47.0,0.0,Season 2010
15,Kentucky,2237.0,239.0,0.0,104.0,0.0,Season 2010
16,Louisiana,7390.0,37.0,0.0,741.0,0.0,Season 2010
17,Maine,814.0,171.0,0.0,122.0,0.0,Season 2010
18,Maryland,2767.0,695.0,0.0,134.0,0.0,Season 2010
19,Massachusetts,1229.0,113.0,0.0,56.0,0.0,Season 2010
20,Michigan,526.0,157.0,0.0,66.0,0.0,Season 2010
21,Minnesota,6042.0,12.0,0.0,417.0,0.0,Season 2010
22,Mississippi,128.0,4.0,0.0,11.0,0.0,Season 2010
23,Missouri,8830.0,52.0,0.0,154.0,0.0,Season 2010
24,Montana,1527.0,41.0,0.0,65.0,0.0,Season 2010
25,Nebraska,1806.0,118.0,0.0,123.0,0.0,Season 2010
26,Nevada,623.0,90.0,0.0,60.0,0.0,Season 2010
27,New Hampshire,1126.0,95.0,0.0,38.0,0.0,Season 2010
28,New Jersey,0.0,0.0,0.0,0.0,0.0,Season 2010
29,New Mexico,1080.0,87.0,0.0,98.0,0.0,Season 2010
30,New York,22861.0,204.0,0.0,675.0,0.0,Season 2010
31,North Carolina,1106.0,206.0,0.0,223.0,0.0,Season 2010
32,North Dakota,3904.0,86.0,0.0,219.0,0.0,Season 2010
33,Ohio,3444.0,112.0,0.0,128.0,0.0,Season 2010
34,Oklahoma,3406.0,18.0,0.0,325.0,0.0,Season 2010
35,Oregon,987.0,166.0,0.0,24.0,0.0,Season 2010
36,Pennsylvania,9304.0,790.0,0.0,383.0,0.0,Season 2010
37,Rhode Island,0.0,0.0,0.0,0.0,0.0,Season 2010
38,South Carolina,8030.0,92.0,0.0,246.0,0.0,Season 2010
39,South Dakota,1533.0,50.0,0.0,365.0,0.0,Season 2010
40,Tennessee,3390.0,283.0,0.0,345.0,0.0,Season 2010
41,Texas,24656.0,328.0,0.0,1353.0,0.0,Season 2010
42,Utah,15652.0,495.0,0.0,826.0,0.0,Season 2010
43,Vermont,144.0,49.0,0.0,12.0,0.0,Season 2010
44,Virginia,3708.0,112.0,0.0,190.0,0.0,Season 2010
