,SEASON_DESCRIPTION,REGION,TOTAL SPECIMENS,A (2009 H1N1),A (H3),B,BVic,BYam,H3N2v
0,Season 2015-16,Alabama,256.0,59.0,16.0,2.0,2.0,2.0,0.0
1,Season 2015-16,Alaska,4691.0,607.0,98.0,231.0,1.0,2.0,0.0
2,Season 2015-16,Arizona,2110.0,762.0,580.0,13.0,58.0,399.0,0.0
3,Season 2015-16,Arkansas,128.0,20.0,8.0,1.0,12.0,0.0,0.0
4,Season 2015-16,California,12820.0,1462.0,854.0,775.0,309.0,803.0,0.0
5,Season 2015-16,Colorado,1625.0,912.0,243.0,13.0,40.0,144.0,0.0
6,Season 2015-16,Connecticut,1581.0,662.0,52.0,185.0,0.0,0.0,0.0
7,Season 2015-16,Delaware,2754.0,414.0,20.0,8.0,78.0,69.0,0.0
8,Season 2015-16,Georgia,1548.0,297.0,32.0,19.0,38.0,41.0,0.0
9,Season 2015-16,Hawaii,2634.0,477.0,223.0,28.0,80.0,187.0,0.0
10,Season 2015-16,Idaho,669.0,200.0,57.0,0.0,28.0,283.0,0.0
11,Season 2015-16,Illinois,2879.0,249.0,39.0,1.0,21.0,37.0,0.0
12,Season 2015-16,Indiana,682.0,270.0,75.0,15.0,31.0,19.0,0.0
13,Season 2015-16,Iowa,1085.0,276.0,46.0,0.0,26.0,78.0,0.0
14,Season 2015-16,Kansas,266.0,108.0,16.0,2.0,6.0,20.0,0.0
15,Season 2015-16,Kentucky,393.0,110.0,17.0,74.0,5.0,2.0,0.0
16,Season 2015-16,Louisiana,1091.0,177.0,90.0,100.0,0.0,0.0,0.0
17,Season 2015-16,Maine,796.0,226.0,24.0,69.0,0.0,0.0,0.0
18,Season 2015-16,Maryland,4537.0,1149.0,51.0,0.0,175.0,222.0,0.0
19,Season 2015-16,Massachusetts,356.0,146.0,8.0,6.0,25.0,9.0,0.0
20,Season 2015-16,Michigan,714.0,271.0,68.0,6.0,21.0,31.0,12.0
21,Season 2015-16,Minnesota,5927.0,751.0,61.0,2.0,13.0,110.0,0.0
22,Season 2015-16,Mississippi,171.0,19.0,8.0,0.0,13.0,9.0,0.0
23,Season 2015-16,Missouri,257.0,20.0,11.0,0.0,11.0,8.0,0.0
24,Season 2015-16,Montana,659.0,88.0,23.0,31.0,0.0,0.0,0.0
25,Season 2015-16,Nebraska,269.0,71.0,12.0,12.0,1.0,4.0,0.0
26,Season 2015-16,Nevada,777.0,96.0,29.0,26.0,30.0,60.0,0.0
27,Season 2015-16,New Hampshire,298.0,117.0,15.0,0.0,58.0,17.0,0.0
