REGION TYPE,REGION,YEAR,WEEK,ILITOTAL,NUM. OF PROVIDERS,TOTAL PATIENTS
States,Alabama,2010,40,249,35,11664
States,Alaska,2010,40,15,7,1714
States,Arizona,2010,40,172,49,25492
States,Arkansas,2010,40,18,15,2586
States,California,2010,40,632,112,32342
States,Colorado,2010,40,134,14,20282
States,Connecticut,2010,40,3,12,3831
States,Delaware,2010,40,4,13,3995
States,Georgia,2010,40,647,62,40314
States,Hawaii,2010,40,20,18,1943
States,Idaho,2010,40,19,12,4579
States,Illinois,2010,40,505,74,39390
States,Indiana,2010,40,65,44,12525
States,Iowa,2010,40,10,6,1776
States,Kansas,2010,40,39,40,8819
States,Kentucky,2010,40,19,14,13293
States,Louisiana,2010,40,391,41,17141
States,Maine,2010,40,22,30,6150
States,Maryland,2010,40,117,17,8869
States,Massachusetts,2010,40,168,56,27786
States,Michigan,2010,40,98,47,14587
States,Minnesota,2010,40,38,17,6611
States,Mississippi,2010,40,491,42,16874
States,Missouri,2010,40,106,33,9621
States,Montana,2010,40,1,7,2694
States,Nebraska,2010,40,61,13,2773
States,Nevada,2010,40,175,30,10499
States,New Hampshire,2010,40,3,21,3951
States,New Jersey,2010,40,163,23,7040
States,New Mexico,2010,40,160,23,7505
States,New York,2010,40,37,91,14069
States,North Carolina,2010,40,134,74,25215
States,North Dakota,2010,40,42,19,6256
States,Ohio,2010,40,29,36,12705
States,Oklahoma,2010,40,19,17,3044
States,Oregon,2010,40,37,20,6711
States,Pennsylvania,2010,40,122,64,17347
States,Rhode Island,2010,40,15,21,6382
States,South Carolina,2010,40,33,25,7397
States,South Dakota,2010,40,63,18,5713
States,Tennessee,2010,40,32,52,11651
States,Texas,2010,40,1050,98,50844
States,Utah,2010,40,43,13,5751
States,Vermont,2010,40,41,10,2777
States,Virginia,2010,40,660,81,57721
States,Washington,2010,40,16,17,3137
States,West Virginia,2010,40,143,34,8952
States,Wisconsin,2010,40,23,44,4946
States,Wyoming,2010,40,32,28,5056
States,Alabama,2010,41,239,31,11602
States,Alaska,2010,41,19,7,1684
States,Arizona,2010,41,183,49,24402
States,Arkansas,2010,41,18,14,2670
States,California,2010,41,742,122,34469
States,Colorado,2010,41,115,12,18294
States,Connecticut,2010,41,9,15,3780
States,Delaware,2010,41,15,13,4070
States,Georgia,2010,41,702,63,40979
States,Hawaii,2010,41,32,19,1826
States,Idaho,2010,41,68,12,4664
States,Illinois,2010,41,600,76,41354
States,Indiana,2010,41,84,45,12861
States,Iowa,2010,41,20,7,2323
States,Kansas,2010,41,49,40,8485
States,Kentucky,2010,41,23,14,10269
States,Louisiana,2010,41,325,39,15871
States,Maine,2010,41,26,29,5979
States,Maryland,2010,41,99,17,4717
States,Massachusetts,2010,41,216,54,24328
States,Michigan,2010,41,95,53,16239
States,Minnesota,2010,41,35,18,6466
States,Mississippi,2010,41,523,45,17605
States,Missouri,2010,41,90,32,9672
States,Montana,2010,41,5,7,2763
States,Nebraska,2010,41,68,12,2486
States,Nevada,2010,41,187,33,11428
States,New Hampshire,2010,41,4,22,4326
States,New Jersey,2010,41,189,24,7626
States,New Mexico,2010,41,142,22,7232
States,New York,2010,41,47,89,12712
States,North Carolina,2010,41,141,77,26280
States,North Dakota,2010,41,43,19,5956
States,Ohio,2010,41,55,44,15209
States,Oklahoma,2010,41,29,17,3025
States,Oregon,2010,41,38,19,6089
States,Pennsylvania,2010,41,157,64,17239
States,Rhode Island,2010,41,12,21,5954
States,South Carolina,2010,41,54,25,7054
States,South Dakota,2010,41,44,18,5543
States,Tennessee,2010,41,59,50,11812
States,Texas,2010,41,1061,97,50670
States,Utah,2010,41,29,19,7057
States,Vermont,2010,41,40,10,2946
States,Virginia,2010,41,754,83,60977
States,Washington,2010,41,34,16,3269
States,West Virginia,2010,41,170,34,10694
States,Wisconsin,2010,41,31,48,5328
States,Wyoming,2010,41,21,27,4766
States,Alabama,2010,42,232,33,11945
States,Alaska,2010,42,11,7,1877
States,Arizona,2010,42,240,52,25174
States,Arkansas,2010,42,17,16,3306
States,California,2010,42,766,126,34170
States,Colorado,2010,42,152,12,18905
States,Connecticut,2010,42,15,16,4009
States,Delaware,2010,42,14,14,4154
States,Georgia,2010,42,793,62,39404
States,Hawaii,2010,42,14,19,1854
States,Idaho,2010,42,64,11,4545
States,Illinois,2010,42,644,76,41122
States,Indiana,2010,42,76,45,13006
States,Iowa,2010,42,10,8,2457
States,Kansas,2010,42,43,41,8963
States,Kentucky,2010,42,25,14,16010
States,Louisiana,2010,42,402,47,16545
States,Maine,2010,42,27,30,6402
States,Maryland,2010,42,173,20,11895
States,Massachusetts,2010,42,209,53,28061
States,Michigan,2010,42,81,50,15451
States,Minnesota,2010,42,33,17,6332
States,Mississippi,2010,42,534,45,17911
States,Missouri,2010,42,94,32,9496
States,Montana,2010,42,5,7,2690
States,Nebraska,2010,42,94,14,2839
States,Nevada,2010,42,171,34,11335
States,New Hampshire,2010,42,17,29,5790
States,New Jersey,2010,42,191,25,8496
States,New Mexico,2010,42,126,21,7523
States,New York,2010,42,53,95,14636
States,North Carolina,2010,42,116,71,25377
States,North Dakota,2010,42,32,20,5639
States,Ohio,2010,42,84,47,16044
States,Oklahoma,2010,42,70,18,3381
States,Oregon,2010,42,36,19,7425
States,Pennsylvania,2010,42,161,64,18273
States,Rhode Island,2010,42,25,21,6890
States,South Carolina,2010,42,28,22,7190
States,South Dakota,2010,42,43,18,5436
States,Tennessee,2010,42,61,50,12211
States,Texas,2010,42,1090,98,51887
States,Utah,2010,42,36,20,8171
States,Vermont,2010,42,45,11,3036
States,Virginia,2010,42,758,84,61855
States,Washington,2010,42,28,15,3096
States,West Virginia,2010,42,134,33,8777
States,Wisconsin,2010,42,69,43,5807
States,Wyoming,2010,42,23,28,5206
States,Alabama,2010,43,274,36,12036
States,Alaska,2010,43,18,8,1860
States,Arizona,2010,43,233,52,26215
States,Arkansas,2010,43,12,14,2901
States,California,2010,43,666,130,34733
States,Colorado,2010,43,175,11,19238
States,Connecticut,2010,43,16,22,4797
States,Delaware,2010,43,19,14,4126
States,Georgia,2010,43,881,60,36901
States,Hawaii,2010,43,27,18,1715
States,Idaho,2010,43,58,12,4531
States,Illinois,2010,43,623,79,42741
States,Indiana,2010,43,76,45,13079
States,Iowa,2010,43,9,10,4912
States,Kansas,2010,43,53,43,9850
States,Kentucky,2010,43,27,15,17987
States,Louisiana,2010,43,326,39,16904
States,Maine,2010,43,22,30,6501
States,Maryland,2010,43,146,20,11517
States,Massachusetts,2010,43,228,52,29092
States,Michigan,2010,43,152,51,16496
States,Minnesota,2010,43,42,18,6586
States,Mississippi,2010,43,538,47,17090
States,Missouri,2010,43,91,31,9482
States,Montana,2010,43,1,7,2748
States,Nebraska,2010,43,60,14,2916
States,Nevada,2010,43,241,34,11238
