,Season_Year,REGION,ILITOTAL,TOTAL PATIENTS,Season
0,22010,Alabama,23704.0,377150.0,Season 2010
1,22010,Alaska,1123.0,76103.0,Season 2010
2,22010,Arizona,12975.0,966366.0,Season 2010
3,22010,Arkansas,3615.0,120795.0,Season 2010
4,22010,California,40958.0,1278328.0,Season 2010
5,22010,Colorado,8725.0,758318.0,Season 2010
6,22010,Connecticut,990.0,134203.0,Season 2010
7,22010,Delaware,1190.0,123265.0,Season 2010
8,22010,Georgia,40930.0,1389482.0,Season 2010
9,22010,Hawaii,1559.0,65707.0,Season 2010
10,22010,Idaho,4406.0,160337.0,Season 2010
11,22010,Illinois,35035.0,1470319.0,Season 2010
12,22010,Indiana,8285.0,421927.0,Season 2010
13,22010,Iowa,1189.0,116078.0,Season 2010
14,22010,Kansas,4203.0,312447.0,Season 2010
15,22010,Kentucky,4537.0,573334.0,Season 2010
16,22010,Louisiana,23355.0,679921.0,Season 2010
17,22010,Maine,1572.0,210920.0,Season 2010
18,22010,Maryland,6096.0,306564.0,Season 2010
19,22010,Massachusetts,12970.0,1015061.0,Season 2010
20,22010,Michigan,5651.0,551482.0,Season 2010
21,22010,Minnesota,2490.0,184025.0,Season 2010
22,22010,Mississippi,27561.0,636591.0,Season 2010
23,22010,Missouri,5754.0,274980.0,Season 2010
24,22010,Montana,278.0,97124.0,Season 2010
25,22010,Nebraska,2911.0,107738.0,Season 2010
26,22010,Nevada,14544.0,514339.0,Season 2010
27,22010,New Hampshire,520.0,176854.0,Season 2010
28,22010,New Jersey,8049.0,228024.0,Season 2010
29,22010,New Mexico,8750.0,295901.0,Season 2010
30,22010,New York,8582.0,430154.0,Season 2010
31,22010,North Carolina,11961.0,715591.0,Season 2010
32,22010,North Dakota,829.0,102525.0,Season 2010
33,22010,Ohio,5059.0,531110.0,Season 2010
34,22010,Oklahoma,3377.0,101938.0,Season 2010
35,22010,Oregon,1695.0,145666.0,Season 2010
36,22010,Pennsylvania,10062.0,576048.0,Season 2010
37,22010,Rhode Island,1943.0,220746.0,Season 2010
38,22010,South Carolina,4267.0,256861.0,Season 2010
39,22010,South Dakota,3287.0,201031.0,Season 2010
40,22010,Tennessee,6717.0,409321.0,Season 2010
41,22010,Texas,54420.0,1742213.0,Season 2010
42,22010,Utah,2563.0,259178.0,Season 2010
43,22010,Vermont,2092.0,118819.0,Season 2010
44,22010,Virginia,52730.0,2444217.0,Season 2010
45,22010,Washington,1337.0,88455.0,Season 2010
46,22010,West Virginia,7341.0,397113.0,Season 2010
